barcode,pathovar,treatment,percent_overlap
barcode01,Xcr,True,55.102
barcode02,Xcr,True,65.217
barcode03,Xcr,True,50.000
barcode04,Xcr,True,59.322
barcode05,Xcc,True,50.000
barcode06,Xcc,True,60.000
barcode07,Xcc,True,78.862
barcode08,Xcc,True,78.462
barcode09,Xcc,True,68.478
barcode10,Xcc,True,56.667
barcode11,Xcc,True,61.538
barcode12,Xcc,True,62.195
barcode13,Xcc,True,58.571
barcode14,Xcr,True,67.347
barcode15,Xcr,True,68.056
barcode16,Xcc,True,62.500
barcode17,Xcc,True,58.025
barcode18,Xcc,True,58.750
barcode19,Xcc,True,62.295
barcode20,Xcc,True,60.714
barcode21,Xcc,True,55.422
barcode22,Xcc,True,60.577
barcode23,Xcc,True,63.235
barcode24,Xcc,True,58.462
barcode25,Xcc,True,59.740
barcode26,Xcc,True,60.000
barcode27,Xcc,True,63.158
barcode28,Xcc,True,60.000
barcode29,Xcc,True,57.143
barcode30,Xcc,True,62.651
barcode31,Xcr,True,51.852
barcode32,Xcr,True,48.148
barcode33,Xcc,True,59.259
barcode34,Xcc,True,63.636
barcode35,Xcc,True,58.904
barcode36,Xcr,True,60.000
barcode37,Xcr,True,51.852
barcode39,Xcc,True,58.571
barcode40,Xcc,True,65.591
barcode41,Xcr,True,51.724
barcode42,Xcr,True,59.322
barcode43,Xcr,True,69.048
barcode44,Xcr,True,66.000
barcode45,Xcr,True,68.571
barcode46,Xcr,True,42.857
barcode47,Xcr,True,41.860
barcode48,Xcr,True,58.824
barcode49,Xcr,True,64.706
barcode50,Xcc,True,59.494
barcode52,Xcr,True,62.963
barcode53,Xcr,True,48.148
barcode54,Xcr,True,67.442
barcode55,Xcr,True,65.854
barcode56,Xcr,True,56.757
barcode57,Xcr,True,67.347
barcode58,Xcr,True,60.377
barcode59,Xcr,True,63.492
barcode60,Xcr,True,63.492
barcode61,Xcr,True,58.333
barcode62,Xcr,True,64.706
barcode63,Xcr,True,63.636
barcode64,Xcr,True,51.724
barcode65,Xcr,True,44.444
barcode66,Xcr,True,54.286
barcode67,Xcc,True,56.522
barcode68,Xcc,True,56.522
barcode69,Xcr,True,32.500
barcode70,Xcr,True,63.636
barcode71,Xcc,True,56.471
barcode72,Xcc,True,55.056
barcode73,Xcc,True,63.333
barcode74,Xcc,True,53.731
barcode75,Xcc,True,57.971
barcode76,Xcc,True,62.857
