Plasmid,species,species_simplified
NZ_CP066960.1,Xanthomonas campestris,X. campestris
NZ_CP066927.1,Xanthomonas campestris,X. campestris
NZ_CP066957.1,Xanthomonas campestris,X. campestris
NZ_LN811400.1,Xanthomonas campestris,X. campestris
NZ_CP066971.1,Xanthomonas campestris,X. campestris
NZ_CP067003.1,Xanthomonas campestris,X. campestris
NZ_CP066967.1,Xanthomonas campestris,X. campestris
NZ_CP066989.1,Xanthomonas campestris,X. campestris
NZ_LR828259.1,Xanthomonas hortorum,X. hortorum
NZ_CP066962.1,Xanthomonas campestris,X. campestris
NZ_CP066991.1,Xanthomonas campestris,X. campestris
NZ_CP066946.1,Xanthomonas campestris,X. campestris
NZ_CP066941.1,Xanthomonas campestris,X. campestris
NZ_CP107718.1,Xanthomonas campestris,X. campestris
NZ_CP098605.1,Xanthomonas hortorum,X. hortorum
NZ_CP066924.1,Xanthomonas campestris,X. campestris
NZ_CP066935.1,Xanthomonas campestris,X. campestris
NZ_CP017394.1,Xanthomonas campestris,X. campestris
NZ_CP066954.1,Xanthomonas campestris,X. campestris
NZ_LR828263.1,Xanthomonas hortorum,X. hortorum
NZ_CP017325.1,Xanthomonas campestris,X. campestris
NZ_CP017318.1,Xanthomonas campestris,X. campestris
NZ_CP101173.1,Xanthomonas campestris,X. campestris
NZ_CM002539.1,Xanthomonas campestris,X. campestris
NZ_CP074077.1,Xanthomonas oryzae,other
NZ_CP101177.1,Xanthomonas campestris,X. campestris
NZ_CP115912.1,Xanthomonas oryzae,other
NZ_HG531773.1,Xanthomonas campestris,X. campestris
NZ_CP046489.1,Xanthomonas oryzae,other
NZ_CP101175.1,Xanthomonas campestris,X. campestris
NZ_CM002628.1,Xanthomonas campestris,X. campestris
NZ_CP029278.1,Xanthomonas phaseoli,X. phaseoli
NZ_CP029274.1,Xanthomonas citri,X. citri
NZ_CP029282.1,Xanthomonas phaseoli,X. phaseoli
NZ_CP029285.1,Xanthomonas phaseoli,X. phaseoli
NZ_CP029276.1,Xanthomonas citri,X. citri
NZ_CP124532.1,Xanthomonas campestris,X. campestris
NZ_CP072395.1,Xanthomonas phaseoli,X. phaseoli
NZ_CP072989.1,Xanthomonas translucens,other
NZ_CP017393.1,Xanthomonas campestris,X. campestris
NZ_CP012064.1,Xanthomonas phaseoli,X. phaseoli
NZ_CP012049.1,Xanthomonas phaseoli,X. phaseoli
NZ_CP020984.2,Xanthomonas citri,X. citri
NZ_CP020988.2,Xanthomonas citri,X. citri
NZ_CP020968.2,Xanthomonas phaseoli,X. phaseoli
NZ_CP020986.2,Xanthomonas citri,X. citri
NZ_CP020972.1,Xanthomonas phaseoli,X. phaseoli
NZ_CP020982.2,Xanthomonas citri,X. citri
NZ_CP021017.2,Xanthomonas citri,X. citri
NZ_CP021019.2,Xanthomonas citri,X. citri
NZ_CP020990.2,Xanthomonas citri,X. citri
NZ_CP020980.2,Xanthomonas citri,X. citri
NZ_CP066965.1,Xanthomonas campestris,X. campestris
NZ_CP066977.1,Xanthomonas campestris,X. campestris
NZ_CP066974.1,Xanthomonas campestris,X. campestris
NZ_CP012058.1,Xanthomonas phaseoli,X. phaseoli
NZ_CP011166.1,Xanthomonas citri,X. citri
NZ_CP110300.1,Xanthomonas citri,X. citri
NZ_CP110297.1,Xanthomonas citri,X. citri
NZ_CP110316.1,Xanthomonas phaseoli,X. phaseoli
NZ_CP110304.1,Xanthomonas phaseoli,X. phaseoli
NZ_CP110314.1,Xanthomonas phaseoli,X. phaseoli
NZ_CP110302.1,Xanthomonas citri,X. citri
NZ_CP066346.1,Xanthomonas citri,X. citri
NZ_CP012061.1,Xanthomonas sp.,other
NZ_LAUH01000228.1,Xanthomonas citri,X. citri
NZ_CP018727.1,Xanthomonas vesicatoria,other
NZ_CP060473.1,Xanthomonas citri,X. citri
NZ_CP060449.1,Xanthomonas citri,X. citri
NZ_CM002030.1,Xanthomonas citri,X. citri
NZ_CP090562.1,Xanthomonas citri,X. citri
NZ_CP034656.1,Xanthomonas campestris,X. campestris
NZ_CP060454.1,Xanthomonas citri,X. citri
NZ_CP018474.1,Xanthomonas perforans,other
NZ_CM009470.1,Xanthomonas citri,X. citri
NZ_CP060467.1,Xanthomonas citri,X. citri
NZ_CP060462.1,Xanthomonas citri,X. citri
NZ_CP020891.1,Xanthomonas citri,X. citri
NZ_CP107242.1,Xanthomonas hortorum,X. hortorum
NZ_CP020884.1,Xanthomonas citri,X. citri
NZ_LR828255.1,Xanthomonas hortorum,X. hortorum
NZ_CP018734.1,Xanthomonas hortorum,X. hortorum
NZ_CP018730.1,Xanthomonas hortorum,X. hortorum
NZ_CP066964.1,Xanthomonas campestris,X. campestris
NZ_HG992339.1,Xanthomonas arboricola,other
NZ_HG992343.1,Xanthomonas arboricola,other
NZ_LAUH01000371.1,Xanthomonas citri,X. citri
NZ_LAUI01000076.1,Xanthomonas citri,X. citri
NZ_CP017309.1,Xanthomonas campestris,X. campestris
NZ_HG531781.1,Xanthomonas campestris,X. campestris
NZ_CP096228.1,Xanthomonas citri,X. citri
NZ_CP073210.1,Xanthomonas citri,X. citri
NZ_CP022265.1,Xanthomonas citri,X. citri
NC_020798.1,Xanthomonas axonopodis,other
NZ_CM009471.1,Xanthomonas citri,X. citri
NC_020801.1,Xanthomonas axonopodis,other
NZ_CP116307.1,Xanthomonas perforans,other
NZ_CP116306.1,Xanthomonas perforans,other
NZ_CP018466.1,Xanthomonas euvesicatoria,other
NZ_CP060000.1,Xanthomonas citri,X. citri
NZ_CP018476.1,Xanthomonas perforans,other
NZ_CP060472.1,Xanthomonas citri,X. citri
NZ_CP020976.2,Xanthomonas phaseoli,X. phaseoli
NZ_CP020965.2,Xanthomonas phaseoli,X. phaseoli
NZ_CP060448.1,Xanthomonas citri,X. citri
NZ_CP060459.1,Xanthomonas citri,X. citri
NZ_CP059993.1,Xanthomonas citri,X. citri
NZ_CP060468.1,Xanthomonas citri,X. citri
NZ_CP060463.1,Xanthomonas citri,X. citri
NZ_CP023287.1,Xanthomonas citri,X. citri
NZ_CM002137.1,Xanthomonas citri,X. citri
NZ_CP066998.1,Xanthomonas campestris,X. campestris
NZ_CP072269.1,Xanthomonas euvesicatoria,other
NC_003921.3,Xanthomonas citri,X. citri
NZ_CP024032.1,Xanthomonas citri,X. citri
NZ_CP024080.1,Xanthomonas citri,X. citri
NZ_CP024031.1,Xanthomonas citri,X. citri
NZ_CM007626.1,Xanthomonas citri,X. citri
NZ_CP008999.1,Xanthomonas citri,X. citri
NZ_CP008987.1,Xanthomonas citri,X. citri
NZ_CP009014.1,Xanthomonas citri,X. citri
NZ_CP009002.1,Xanthomonas citri,X. citri
NZ_CP009008.1,Xanthomonas citri,X. citri
NZ_CP008996.1,Xanthomonas citri,X. citri
NZ_CP009017.1,Xanthomonas citri,X. citri
NZ_CP009011.1,Xanthomonas citri,X. citri
NZ_CP013665.1,Xanthomonas citri,X. citri
NZ_CP017023.1,Xanthomonas citri,X. citri
NZ_CP116311.1,Xanthomonas perforans,other
NZ_CP090565.1,Xanthomonas citri,X. citri
NZ_CP116310.1,Xanthomonas perforans,other
NZ_CP090563.1,Xanthomonas citri,X. citri
NZ_CP090566.1,Xanthomonas citri,X. citri
NZ_CP090567.1,Xanthomonas citri,X. citri
NZ_CP018469.1,Xanthomonas vesicatoria,other
NZ_CP006855.1,Xanthomonas citri,X. citri
NZ_CM002262.1,Xanthomonas euvesicatoria,other
NZ_CP013005.1,Xanthomonas citri,X. citri
NZ_CP075327.1,Xanthomonas citri,X. citri
NZ_CP075328.1,Xanthomonas citri,X. citri
NZ_CP046021.1,Xanthomonas citri,X. citri
NZ_CP023160.1,Xanthomonas citri,X. citri
NZ_CP023156.1,Xanthomonas citri,X. citri
NZ_CP013007.1,Xanthomonas citri,X. citri
NZ_CP018849.1,Xanthomonas citri,X. citri
NZ_CP018857.1,Xanthomonas citri,X. citri
NZ_CP018853.1,Xanthomonas citri,X. citri
NZ_CP018860.1,Xanthomonas citri,X. citri
NZ_CP018852.1,Xanthomonas citri,X. citri
NZ_CP008990.1,Xanthomonas citri,X. citri
NZ_CP110299.1,Xanthomonas citri,X. citri
NZ_CP079708.1,Xanthomonas citri,X. citri
NZ_CP079707.1,Xanthomonas citri,X. citri
NZ_CP082912.1,Xanthomonas citri,X. citri
NZ_CP083578.1,Xanthomonas phaseoli,X. phaseoli
NZ_CP110312.1,Xanthomonas phaseoli,X. phaseoli
NZ_CP110307.1,Xanthomonas phaseoli,X. phaseoli
NZ_CP066345.1,Xanthomonas citri,X. citri
NZ_CP062258.2,Xanthomonas sp.,other
NZ_CP062257.2,Xanthomonas sp.,other
NZ_CP030165.1,Xanthomonas citri,X. citri
NZ_PEBY01000002.1,Xanthomonas citri,X. citri
NZ_JAAQOY010000011.1,Xanthomonas citri,X. citri
NZ_PEBY01000001.1,Xanthomonas citri,X. citri
NZ_LAUH01000215.1,Xanthomonas citri,X. citri
NZ_LAUP01000099.1,Xanthomonas citri,X. citri
NZ_LAUN01000004.1,Xanthomonas citri,X. citri
NZ_LAUF01000016.1,Xanthomonas citri,X. citri
NZ_CP021013.1,Xanthomonas citri,X. citri
NZ_CP020999.2,Xanthomonas citri,X. citri
NZ_CP021002.2,Xanthomonas citri,X. citri
NZ_CP021008.2,Xanthomonas citri,X. citri
NZ_CP020993.2,Xanthomonas citri,X. citri
NZ_CP023295.1,Xanthomonas citri,X. citri
NZ_CP072397.1,Xanthomonas citri,X. citri
NZ_CP029265.1,Xanthomonas citri,X. citri
NZ_CP029272.1,Xanthomonas citri,X. citri
NZ_CP029268.1,Xanthomonas citri,X. citri
NC_022539.1,Xanthomonas citri,X. citri
NZ_JAPEIR010000003.1,Xanthomonas citri,X. citri
NZ_LAUH01000216.1,Xanthomonas citri,X. citri
NZ_CM002540.1,Xanthomonas campestris,X. campestris
NZ_AP014705.1,Methylobacterium aquaticum,other
NZ_CP049018.1,Xanthomonas theicola,other
NZ_CP016879.1,Xanthomonas hortorum,X. hortorum
NZ_CP107243.1,Xanthomonas hortorum,X. hortorum
NZ_LR828260.1,Xanthomonas hortorum,X. hortorum
NZ_CP060400.1,Xanthomonas hortorum,X. hortorum
NZ_CP031608.1,Xanthomonas hortorum,X. hortorum
NZ_CP018733.1,Xanthomonas hortorum,X. hortorum
NZ_CM002631.1,Xanthomonas campestris,X. campestris
