barcode	ONT_native_barcode	number	batch	n	pathovar	sequenced_filemaker	original_filemaker	input-file	total.reads	total.gigabases	N50.length	mean.length	median.length	max.length	mean.q	median.q
barcode01	NB01	1,1	1	1	Xcr	6737	6737	01.tab	21643	0,5140742	37006	23752,4	20328	135372	12	12,4
barcode02	NB02	1,2	1	2	Xcr	6738	6199	02.tab	37041	0,9289501	39616	25079	21021	159023	11,9	12,2
barcode03	NB03	1,3	1	3	Xcr	6739	6202	03.tab	21232	0,4602993	34807	21679,5	17269	130796	12	12,3
barcode04	NB04	1,4	1	4	Xcr	6740	6200	04.tab	25087	0,6128275	38887	24428,1	20095	124209	12	12,4
barcode05	NB05	1,5	1	5	Xcc	6741	6471	05.tab	99645	0,6776869	27593	6801	1890	129342	11,9	12,2
barcode06	NB06	1,6	1	6	Xcc	6742	5308	06.tab	32726	0,5507131	35540	16828	9144	155222	11,9	12,3
barcode07	NB07	1,7	1	7	Xcc	6743	5309	07.tab	14587	0,2974474	34625	20391,3	14890	128601	11,9	12,3
barcode08	NB08	2,1	2	1	Xcc	6744	6286	08.tab	21079	0,4467545	35231	21194,3	15748	126317	12	12,3
barcode09	NB09	2,2	2	2	Xcc	6745	6341	09.tab	21594	0,5534825	40514	25631,3	21705	161637	12	12,3
barcode10	NB10	2,4	2	4	Xcc	6747	6459	10.tab	17444	0,3913134	35844	22432,5	18194,5	140063	11,9	12,3
barcode11	NB11	2,6	2	6	Xcc	6749	6469	11.tab	25253	0,4626076	33480	18318,9	11955	177901	11,9	12,3
barcode12	NB12	2,7	2	7	Xcc	6750	6470	12.tab	17116	0,3482099	32261	20344,1	16576,5	122799	12	12,3
barcode13	NB13	2,8	2	8	Xcc	6751	6477	13.tab	17486	0,3647399	34581	20859	15945	128555	12	12,4
barcode14	NB14	3,1	3	1	Xcr	6752	6209	14.tab	31979	0,5864616	35940	18339	10972	157104	12	12,3
barcode15	NB15	3,2	3	2	Xcr	6753	6210	15.tab	26200	0,6201002	38927	23667,9	18161,5	165584	12	12,4
barcode16	NB16	3,4	3	4	Xcc	6755	6423	16.tab	35410	0,9032256	40899	25507,6	20818	189729	12	12,3
barcode17	NB17	3,5	3	5	Xcc	6756	6424	17.tab	36049	0,7470437	36034	20723	14691	144263	11,9	12,3
barcode18	NB18	3,6	3	6	Xcc	6757	6425	18.tab	80734	1,431567	35199	17731,9	10268	148572	12	12,4
barcode19	NB19	3,7	3	7	Xcc	6758	6426	19.tab	92341	1,6781615	36228	18173,5	10681	383505	11,9	12,3
barcode20	NB20	3,8	3	8	Xcc	6759	6427	20.tab	81015	1,2303012	26589	15186,1	9716	152320	11,9	12,3
barcode21	NB21	3,9	3	9	Xcc	6760	6428	21.tab	25086	0,5824343	36457	23217,5	19304,5	129447	11,8	12,2
barcode22	NB22	3,1	3	10	Xcc	6761	6430	22.tab	42849	1,0783047	39445	25165,2	21230	154436	12	12,3
barcode23	NB23	3,11	3	11	Xcc	6762	6431	23.tab	43903	0,8286049	35808	18873,5	12544	145338	11,9	12,3
