q	r	ANI	n1	n2
barcode01.fasta	barcode01.fasta	100	1647	1647
barcode01.fasta	barcode56.fasta	99.9536	1628	1647
barcode01.fasta	barcode92.fasta	99.2627	1615	1647
barcode01.fasta	barcode83.fasta	99.2443	1619	1647
barcode01.fasta	barcode04.fasta	98.3882	1588	1647
barcode01.fasta	barcode42.fasta	98.3702	1581	1647
barcode01.fasta	barcode41.fasta	98.321	1584	1647
barcode01.fasta	barcode60.fasta	98.3111	1580	1647
barcode01.fasta	barcode59.fasta	98.3102	1581	1647
barcode01.fasta	barcode15.fasta	98.2651	1576	1647
barcode01.fasta	barcode55.fasta	98.262	1587	1647
barcode01.fasta	barcode58.fasta	98.1689	1601	1647
barcode01.fasta	barcode81.fasta	97.6719	1553	1647
barcode01.fasta	barcode52.fasta	97.6637	1551	1647
barcode01.fasta	barcode44.fasta	97.663	1554	1647
barcode01.fasta	barcode64.fasta	97.6629	1553	1647
barcode01.fasta	barcode46.fasta	97.6611	1527	1647
barcode01.fasta	barcode02.fasta	97.6572	1561	1647
barcode01.fasta	barcode36.fasta	97.6502	1534	1647
barcode01.fasta	barcode63.fasta	97.6467	1563	1647
barcode01.fasta	barcode70.fasta	97.6459	1566	1647
barcode01.fasta	barcode45.fasta	97.6455	1547	1647
barcode01.fasta	barcode31.fasta	97.643	1560	1647
barcode01.fasta	barcode49.fasta	97.6398	1553	1647
barcode01.fasta	barcode57.fasta	97.6383	1557	1647
barcode01.fasta	barcode96.fasta	97.6379	1564	1647
barcode01.fasta	barcode62.fasta	97.6363	1554	1647
barcode01.fasta	barcode61.fasta	97.6291	1551	1647
barcode01.fasta	barcode47.fasta	97.6269	1552	1647
barcode01.fasta	barcode14.fasta	97.6227	1563	1647
barcode01.fasta	barcode93.fasta	97.62	1569	1647
barcode01.fasta	barcode66.fasta	97.6125	1538	1647
barcode01.fasta	barcode37.fasta	97.6113	1564	1647
barcode01.fasta	barcode53.fasta	97.6072	1567	1647
barcode01.fasta	barcode48.fasta	97.601	1556	1647
barcode01.fasta	barcode43.fasta	97.5969	1562	1647
barcode01.fasta	barcode69.fasta	97.5953	1555	1647
barcode01.fasta	barcode91.fasta	97.5881	1553	1647
barcode01.fasta	barcode95.fasta	97.5642	1553	1647
barcode01.fasta	barcode54.fasta	97.5597	1552	1647
barcode01.fasta	barcode65.fasta	97.5085	1543	1647
barcode01.fasta	barcode11.fasta	97.4472	1533	1647
barcode01.fasta	barcode32.fasta	97.4199	1550	1647
barcode01.fasta	barcode89.fasta	97.4189	1546	1647
barcode01.fasta	barcode87.fasta	97.4173	1542	1647
barcode01.fasta	barcode17.fasta	97.4162	1535	1647
barcode01.fasta	barcode51.fasta	97.4161	1551	1647
barcode01.fasta	barcode03.fasta	97.4134	1550	1647
barcode01.fasta	barcode50.fasta	97.4074	1542	1647
barcode01.fasta	barcode22.fasta	97.4074	1530	1647
barcode01.fasta	barcode72.fasta	97.4016	1538	1647
barcode01.fasta	barcode28.fasta	97.4013	1539	1647
barcode01.fasta	barcode34.fasta	97.4004	1545	1647
barcode01.fasta	barcode78.fasta	97.3936	1534	1647
barcode01.fasta	barcode85.fasta	97.3916	1543	1647
barcode01.fasta	barcode71.fasta	97.3897	1538	1647
barcode01.fasta	barcode08.fasta	97.3894	1529	1647
barcode01.fasta	barcode84.fasta	97.3849	1535	1647
barcode01.fasta	barcode20.fasta	97.3813	1542	1647
