file                  format  type  num_seqs  sum_len  min_len  avg_len  max_len
NC_003921.3           FASTA   DNA   1         33700    33700    33700    33700
NC_020798.1           FASTA   DNA   1         47151    47151    47151    47151
NC_020801.1           FASTA   DNA   1         31801    31801    31801    31801
NC_022539.1           FASTA   DNA   1         45224    45224    45224    45224
NZ_CM002030.1         FASTA   DNA   1         39725    39725    39725    39725
NZ_CM002137.1         FASTA   DNA   1         50877    50877    50877    50877
NZ_CM002262.1         FASTA   DNA   1         34378    34378    34378    34378
NZ_CM002539.1         FASTA   DNA   1         31846    31846    31846    31846
NZ_CM002540.1         FASTA   DNA   1         23382    23382    23382    23382
NZ_CM002628.1         FASTA   DNA   1         38576    38576    38576    38576
NZ_CM002631.1         FASTA   DNA   1         867      867      867      867
NZ_CM007626.1         FASTA   DNA   1         28949    28949    28949    28949
NZ_CM009470.1         FASTA   DNA   1         71216    71216    71216    71216
NZ_CM009471.1         FASTA   DNA   1         22906    22906    22906    22906
NZ_CP006855.1         FASTA   DNA   1         33703    33703    33703    33703
NZ_CP008987.1         FASTA   DNA   1         33703    33703    33703    33703
NZ_CP008990.1         FASTA   DNA   1         33703    33703    33703    33703
NZ_CP008996.1         FASTA   DNA   1         33703    33703    33703    33703
NZ_CP008999.1         FASTA   DNA   1         33703    33703    33703    33703
NZ_CP009002.1         FASTA   DNA   1         33702    33702    33702    33702
NZ_CP009008.1         FASTA   DNA   1         33695    33695    33695    33695
NZ_CP009011.1         FASTA   DNA   1         33695    33695    33695    33695
NZ_CP009014.1         FASTA   DNA   1         33703    33703    33703    33703
NZ_CP009017.1         FASTA   DNA   1         33703    33703    33703    33703
NZ_CP011166.1         FASTA   DNA   1         46049    46049    46049    46049
NZ_CP012049.1         FASTA   DNA   1         58947    58947    58947    58947
NZ_CP012058.1         FASTA   DNA   1         58946    58946    58946    58946
NZ_CP012061.1         FASTA   DNA   1         58945    58945    58945    58945
NZ_CP012064.1         FASTA   DNA   1         58947    58947    58947    58947
NZ_CP013005.1         FASTA   DNA   1         88284    88284    88284    88284
NZ_CP013007.1         FASTA   DNA   1         59644    59644    59644    59644
NZ_CP013665.1         FASTA   DNA   1         33703    33703    33703    33703
NZ_CP016879.1         FASTA   DNA   1         75655    75655    75655    75655
NZ_CP017023.1         FASTA   DNA   1         60533    60533    60533    60533
NZ_CP017309.1         FASTA   DNA   1         75753    75753    75753    75753
NZ_CP017318.1         FASTA   DNA   1         48995    48995    48995    48995
NZ_CP017325.1         FASTA   DNA   1         61451    61451    61451    61451
NZ_CP017393.1         FASTA   DNA   1         16075    16075    16075    16075
NZ_CP017394.1         FASTA   DNA   1         42654    42654    42654    42654
NZ_CP018466.1         FASTA   DNA   1         42763    42763    42763    42763
NZ_CP018469.1         FASTA   DNA   1         42967    42967    42967    42967
NZ_CP018474.1         FASTA   DNA   1         45953    45953    45953    45953
NZ_CP018476.1         FASTA   DNA   1         69764    69764    69764    69764
NZ_CP018727.1         FASTA   DNA   1         47184    47184    47184    47184
NZ_CP018730.1         FASTA   DNA   1         45952    45952    45952    45952
NZ_CP018733.1         FASTA   DNA   1         61840    61840    61840    61840
NZ_CP018734.1         FASTA   DNA   1         47122    47122    47122    47122
NZ_CP018849.1         FASTA   DNA   1         92708    92708    92708    92708
NZ_CP018852.1         FASTA   DNA   1         94139    94139    94139    94139
NZ_CP018853.1         FASTA   DNA   1         49382    49382    49382    49382
NZ_CP018857.1         FASTA   DNA   1         51192    51192    51192    51192
NZ_CP018860.1         FASTA   DNA   1         92707    92707    92707    92707
NZ_CP020884.1         FASTA   DNA   1         47027    47027    47027    47027
NZ_CP020891.1         FASTA   DNA   1         47756    47756    47756    47756
NZ_CP020965.2         FASTA   DNA   1         60903    60903    60903    60903
NZ_CP020968.2         FASTA   DNA   1         57747    57747    57747    57747
NZ_CP020972.1         FASTA   DNA   1         60283    60283    60283    60283
NZ_CP020976.2         FASTA   DNA   1         64979    64979    64979    64979
