region	organism	contig	start	stop	genes	contigBorder	wholeContig
Not_pathogenic_barcode90_contig_1_polish_RGP_35	Not_pathogenic_barcode90	contig_1_polish	49191	58696	9	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_3	Not_pathogenic_barcode90	contig_1_polish	60795	91830	27	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_34	Not_pathogenic_barcode90	contig_1_polish	124791	129572	5	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_9	Not_pathogenic_barcode90	contig_1_polish	169614	189997	16	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_45	Not_pathogenic_barcode90	contig_1_polish	281500	284706	4	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_26	Not_pathogenic_barcode90	contig_1_polish	300944	309869	8	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_44	Not_pathogenic_barcode90	contig_1_polish	370081	375616	4	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_18	Not_pathogenic_barcode90	contig_1_polish	411063	418746	8	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_8	Not_pathogenic_barcode90	contig_1_polish	428587	442581	15	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_5	Not_pathogenic_barcode90	contig_1_polish	692216	709115	18	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_33	Not_pathogenic_barcode90	contig_1_polish	882312	891731	5	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_13	Not_pathogenic_barcode90	contig_1_polish	1405646	1421168	13	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_25	Not_pathogenic_barcode90	contig_1_polish	1442997	1451560	6	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_43	Not_pathogenic_barcode90	contig_1_polish	1597960	1605843	6	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_32	Not_pathogenic_barcode90	contig_1_polish	1622828	1631031	5	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_11	Not_pathogenic_barcode90	contig_1_polish	1837794	1853086	13	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_42	Not_pathogenic_barcode90	contig_1_polish	2139615	2146435	6	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_12	Not_pathogenic_barcode90	contig_1_polish	2300159	2313235	11	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_7	Not_pathogenic_barcode90	contig_1_polish	2343529	2362281	16	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_41	Not_pathogenic_barcode90	contig_1_polish	2484556	2490975	6	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_10	Not_pathogenic_barcode90	contig_1_polish	2515490	2532682	13	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_1	Not_pathogenic_barcode90	contig_1_polish	2538229	2594872	38	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_20	Not_pathogenic_barcode90	contig_1_polish	2652019	2658805	9	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_15	Not_pathogenic_barcode90	contig_1_polish	2925695	2933413	9	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_31	Not_pathogenic_barcode90	contig_1_polish	3013112	3018108	5	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_17	Not_pathogenic_barcode90	contig_1_polish	3067502	3079610	12	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_40	Not_pathogenic_barcode90	contig_1_polish	3085349	3093202	4	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_39	Not_pathogenic_barcode90	contig_1_polish	3285080	3290531	4	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_24	Not_pathogenic_barcode90	contig_1_polish	3323142	3326580	6	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_30	Not_pathogenic_barcode90	contig_1_polish	3363777	3368227	5	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_23	Not_pathogenic_barcode90	contig_1_polish	3706440	3717581	8	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_38	Not_pathogenic_barcode90	contig_1_polish	3744701	3747705	4	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_19	Not_pathogenic_barcode90	contig_1_polish	3755732	3771988	13	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_0	Not_pathogenic_barcode90	contig_1_polish	3779950	3850586	58	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_37	Not_pathogenic_barcode90	contig_1_polish	3934153	3940007	4	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_22	Not_pathogenic_barcode90	contig_1_polish	4040997	4052248	6	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_6	Not_pathogenic_barcode90	contig_1_polish	4138197	4160550	17	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_14	Not_pathogenic_barcode90	contig_1_polish	4277166	4286225	9	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_29	Not_pathogenic_barcode90	contig_1_polish	4312389	4318401	5	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_4	Not_pathogenic_barcode90	contig_1_polish	4346241	4367272	20	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_16	Not_pathogenic_barcode90	contig_1_polish	4610302	4617703	8	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_28	Not_pathogenic_barcode90	contig_1_polish	4639413	4645805	5	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_2	Not_pathogenic_barcode90	contig_1_polish	4702667	4754972	36	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_36	Not_pathogenic_barcode90	contig_1_polish	4776785	4786602	4	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_27	Not_pathogenic_barcode90	contig_1_polish	4959571	4966778	5	False	False
Not_pathogenic_barcode90_contig_1_polish_RGP_21	Not_pathogenic_barcode90	contig_1_polish	4987663	4997434	10	False	False
Xcc_barcode05_contig_1_polish_RGP_6	Xcc_barcode05	contig_1_polish	55852	83600	23	False	False
Xcc_barcode05_contig_1_polish_RGP_19	Xcc_barcode05	contig_1_polish	161542	169233	10	False	False
Xcc_barcode05_contig_1_polish_RGP_29	Xcc_barcode05	contig_1_polish	280048	289269	7	False	False
Xcc_barcode05_contig_1_polish_RGP_12	Xcc_barcode05	contig_1_polish	394723	402450	11	False	False
Xcc_barcode05_contig_1_polish_RGP_23	Xcc_barcode05	contig_1_polish	454183	465881	11	False	False
Xcc_barcode05_contig_1_polish_RGP_18	Xcc_barcode05	contig_1_polish	612911	633889	12	False	False
Xcc_barcode05_contig_1_polish_RGP_1	Xcc_barcode05	contig_1_polish	682021	713945	31	False	False
Xcc_barcode05_contig_1_polish_RGP_22	Xcc_barcode05	contig_1_polish	835633	843453	7	False	False
Xcc_barcode05_contig_1_polish_RGP_17	Xcc_barcode05	contig_1_polish	952468	962867	8	False	False
Xcc_barcode05_contig_1_polish_RGP_33	Xcc_barcode05	contig_1_polish	1130390	1136239	4	False	False
Xcc_barcode05_contig_1_polish_RGP_0	Xcc_barcode05	contig_1_polish	1220613	1250261	30	False	False
Xcc_barcode05_contig_1_polish_RGP_5	Xcc_barcode05	contig_1_polish	1446987	1470438	20	False	False
Xcc_barcode05_contig_1_polish_RGP_28	Xcc_barcode05	contig_1_polish	1661899	1666349	5	False	False
Xcc_barcode05_contig_1_polish_RGP_21	Xcc_barcode05	contig_1_polish	1829005	1836869	7	False	False
Xcc_barcode05_contig_1_polish_RGP_27	Xcc_barcode05	contig_1_polish	1937441	1945290	5	False	False
Xcc_barcode05_contig_1_polish_RGP_4	Xcc_barcode05	contig_1_polish	1951050	1969364	21	False	False
Xcc_barcode05_contig_1_polish_RGP_16	Xcc_barcode05	contig_1_polish	2071142	2080946	10	False	False
Xcc_barcode05_contig_1_polish_RGP_32	Xcc_barcode05	contig_1_polish	2436856	2442143	4	False	False
Xcc_barcode05_contig_1_polish_RGP_2	Xcc_barcode05	contig_1_polish	2503917	2541495	25	False	False
Xcc_barcode05_contig_1_polish_RGP_11	Xcc_barcode05	contig_1_polish	2643209	2655998	11	False	False
Xcc_barcode05_contig_1_polish_RGP_3	Xcc_barcode05	contig_1_polish	2686511	2703726	23	False	False
Xcc_barcode05_contig_1_polish_RGP_13	Xcc_barcode05	contig_1_polish	2827136	2833091	10	False	False
Xcc_barcode05_contig_1_polish_RGP_10	Xcc_barcode05	contig_1_polish	3152917	3166163	13	False	False
Xcc_barcode05_contig_1_polish_RGP_20	Xcc_barcode05	contig_1_polish	3387523	3391125	7	False	False
Xcc_barcode05_contig_1_polish_RGP_26	Xcc_barcode05	contig_1_polish	3434292	3439906	8	False	False
Xcc_barcode05_contig_1_polish_RGP_9	Xcc_barcode05	contig_1_polish	3613848	3630561	15	False	False
Xcc_barcode05_contig_1_polish_RGP_7	Xcc_barcode05	contig_1_polish	3672126	3681578	14	False	False
Xcc_barcode05_contig_1_polish_RGP_31	Xcc_barcode05	contig_1_polish	4271607	4277001	4	False	False
Xcc_barcode05_contig_1_polish_RGP_15	Xcc_barcode05	contig_1_polish	4305806	4313332	9	False	False
Xcc_barcode05_contig_1_polish_RGP_25	Xcc_barcode05	contig_1_polish	4664877	4674617	6	False	False
Xcc_barcode05_contig_1_polish_RGP_24	Xcc_barcode05	contig_1_polish	4769472	4774810	8	False	False
Xcc_barcode05_contig_1_polish_RGP_30	Xcc_barcode05	contig_1_polish	4843290	4850590	4	False	False
Xcc_barcode05_contig_1_polish_RGP_8	Xcc_barcode05	contig_1_polish	4868259	4882081	19	False	False
Xcc_barcode05_contig_1_polish_RGP_14	Xcc_barcode05	contig_1_polish	4892570	4900114	9	False	False
Xcc_barcode05_contig_2_RGP_0	Xcc_barcode05	contig_2	1	64551	60	True	True
Xcc_barcode06_contig_1_polish_RGP_10	Xcc_barcode06	contig_1_polish	60772	86237	24	False	False
Xcc_barcode06_contig_1_polish_RGP_16	Xcc_barcode06	contig_1_polish	158877	169463	12	False	False
Xcc_barcode06_contig_1_polish_RGP_27	Xcc_barcode06	contig_1_polish	280967	289378	7	False	False
Xcc_barcode06_contig_1_polish_RGP_15	Xcc_barcode06	contig_1_polish	392064	402440	10	False	False
Xcc_barcode06_contig_1_polish_RGP_18	Xcc_barcode06	contig_1_polish	612936	634205	12	False	False
Xcc_barcode06_contig_1_polish_RGP_6	Xcc_barcode06	contig_1_polish	682652	701697	23	False	False
Xcc_barcode06_contig_1_polish_RGP_17	Xcc_barcode06	contig_1_polish	826926	834698	8	False	False
Xcc_barcode06_contig_1_polish_RGP_2	Xcc_barcode06	contig_1_polish	1195513	1233133	38	False	False
Xcc_barcode06_contig_1_polish_RGP_30	Xcc_barcode06	contig_1_polish	1246006	1250285	4	False	False
Xcc_barcode06_contig_1_polish_RGP_13	Xcc_barcode06	contig_1_polish	1431852	1452252	16	False	False
Xcc_barcode06_contig_1_polish_RGP_26	Xcc_barcode06	contig_1_polish	1641580	1646030	5	False	False
Xcc_barcode06_contig_1_polish_RGP_24	Xcc_barcode06	contig_1_polish	1805870	1812926	6	False	False
Xcc_barcode06_contig_1_polish_RGP_23	Xcc_barcode06	contig_1_polish	1917873	1926449	6	False	False
Xcc_barcode06_contig_1_polish_RGP_9	Xcc_barcode06	contig_1_polish	1931482	1952673	20	False	False
Xcc_barcode06_contig_1_polish_RGP_22	Xcc_barcode06	contig_1_polish	2182755	2187856	8	False	False
Xcc_barcode06_contig_1_polish_RGP_8	Xcc_barcode06	contig_1_polish	2407902	2421451	18	False	False
Xcc_barcode06_contig_1_polish_RGP_7	Xcc_barcode06	contig_1_polish	2540552	2555907	19	False	False
Xcc_barcode06_contig_1_polish_RGP_25	Xcc_barcode06	contig_1_polish	2585641	2593380	5	False	False
Xcc_barcode06_contig_1_polish_RGP_5	Xcc_barcode06	contig_1_polish	2756321	2778772	25	False	False
Xcc_barcode06_contig_1_polish_RGP_0	Xcc_barcode06	contig_1_polish	2795346	2872471	76	False	False
Xcc_barcode06_contig_1_polish_RGP_1	Xcc_barcode06	contig_1_polish	3036882	3079889	42	False	False
Xcc_barcode06_contig_1_polish_RGP_4	Xcc_barcode06	contig_1_polish	3235460	3260433	31	False	False
Xcc_barcode06_contig_1_polish_RGP_3	Xcc_barcode06	contig_1_polish	3529928	3565746	33	False	False
Xcc_barcode06_contig_1_polish_RGP_12	Xcc_barcode06	contig_1_polish	3738723	3755593	15	False	False
Xcc_barcode06_contig_1_polish_RGP_14	Xcc_barcode06	contig_1_polish	3797221	3804591	11	False	False
Xcc_barcode06_contig_1_polish_RGP_29	Xcc_barcode06	contig_1_polish	4391904	4397295	4	False	False
Xcc_barcode06_contig_1_polish_RGP_21	Xcc_barcode06	contig_1_polish	4783837	4793577	6	False	False
Xcc_barcode06_contig_1_polish_RGP_20	Xcc_barcode06	contig_1_polish	4934600	4938029	6	False	False
Xcc_barcode06_contig_1_polish_RGP_28	Xcc_barcode06	contig_1_polish	4964701	4972007	4	False	False
Xcc_barcode06_contig_1_polish_RGP_11	Xcc_barcode06	contig_1_polish	4991672	5005495	19	False	False
