USA,Database,Name,Accession,Type,Length,GC,CAI,Organism,Description
fasta::barcode71.ffn:bc71_00001,-,bc71_00001,-,N,1329,65.91,0.761,,Chromosomal replication initiator protein DnaA
fasta::barcode71.ffn:bc71_00002,-,bc71_00002,-,N,1101,64.58,0.716,,Beta sliding clamp
fasta::barcode71.ffn:bc71_00003,-,bc71_00003,-,N,1107,65.49,0.551,,DNA replication and repair protein RecF
fasta::barcode71.ffn:bc71_00004,-,bc71_00004,-,N,2445,64.99,0.804,,DNA gyrase subunit B
fasta::barcode71.ffn:bc71_00005,-,bc71_00005,-,N,837,67.98,0.678,,Type II CAAX prenyl endopeptidase Rce1-like protein
fasta::barcode71.ffn:bc71_00006,-,bc71_00006,-,N,807,65.92,0.648,,Beta-barrel assembly-enhancing protease
fasta::barcode71.ffn:bc71_00007,-,bc71_00007,-,N,1197,62.32,0.783,,Tetratricopeptide repeat protein
fasta::barcode71.ffn:bc71_00008,-,bc71_00008,-,N,672,63.69,0.575,,hypothetical protein
fasta::barcode71.ffn:bc71_00009,-,bc71_00009,-,N,762,63.78,0.684,,Tol-Pal system protein TolQ
fasta::barcode71.ffn:bc71_00010,-,bc71_00010,-,N,423,60.28,0.697,,Biopolymer transport protein ExbD
fasta::barcode71.ffn:bc71_00011,-,bc71_00011,-,N,378,60.58,0.777,,Biopolymer transport protein ExbD
fasta::barcode71.ffn:bc71_00012,-,bc71_00012,-,N,771,67.32,0.668,,pyridoxine 5'-phosphate synthase 
fasta::barcode71.ffn:bc71_00013,-,bc71_00013,-,N,270,67.78,0.718,,hypothetical protein
fasta::barcode71.ffn:bc71_00014,-,bc71_00014,-,N,1461,66.26,0.725,,putative cardiolipin synthase YwiE
fasta::barcode71.ffn:bc71_00015,-,bc71_00015,-,N,1095,68.95,0.731,,Radical SAM superfamily protein
fasta::barcode71.ffn:bc71_00016,-,bc71_00016,-,N,714,65.97,0.771,,hypothetical protein
fasta::barcode71.ffn:bc71_00017,-,bc71_00017,-,N,1341,66.82,0.835,,Putative outer membrane protein
fasta::barcode71.ffn:bc71_00018,-,bc71_00018,-,N,693,67.68,0.728,,Rhomboid family protein
fasta::barcode71.ffn:bc71_00019,-,bc71_00019,-,N,321,61.37,0.803,,hypothetical protein
fasta::barcode71.ffn:bc71_00020,-,bc71_00020,-,N,987,69.3,0.718,,Glyoxylate/hydroxypyruvate reductase B
fasta::barcode71.ffn:bc71_00021,-,bc71_00021,-,N,1488,68.41,0.757,,Peptidase family S41
fasta::barcode71.ffn:bc71_00022,-,bc71_00022,-,N,1290,69.38,0.739,,Murein hydrolase activator EnvC
fasta::barcode71.ffn:bc71_00023,-,bc71_00023,-,N,657,65.3,0.789,,hypothetical protein
fasta::barcode71.ffn:bc71_00024,-,bc71_00024,-,N,1785,68.4,0.809,,Peptidase family M28
fasta::barcode71.ffn:bc71_00025,-,bc71_00025,-,N,447,61.74,0.663,,Peptidase propeptide and YPEB domain protein
fasta::barcode71.ffn:bc71_00026,-,bc71_00026,-,N,1050,59.9,0.625,,Endoglucanase
fasta::barcode71.ffn:bc71_00027,-,bc71_00027,-,N,1053,61.25,0.643,,Endoglucanase
fasta::barcode71.ffn:bc71_00028,-,bc71_00028,-,N,1065,63.38,0.756,,Endoglucanase
fasta::barcode71.ffn:bc71_00029,-,bc71_00029,-,N,1059,64.21,0.775,,Aldehyde reductase YahK
fasta::barcode71.ffn:bc71_00030,-,bc71_00030,-,N,1482,68.49,0.822,,Glutamate synthase [NADPH] small chain
fasta::barcode71.ffn:bc71_00031,-,bc71_00031,-,N,4473,67.18,0.8,,Glutamate synthase [NADPH] large chain
fasta::barcode71.ffn:bc71_00032,-,bc71_00032,-,N,381,66.4,0.67,,Peptidase inhibitor I78 family protein
fasta::barcode71.ffn:bc71_00033,-,bc71_00033,-,N,1266,66.67,0.696,,Eukaryotic DNA topoisomerase I catalytic core
fasta::barcode71.ffn:bc71_00034,-,bc71_00034,-,N,579,62.87,0.608,,hypothetical protein
fasta::barcode71.ffn:bc71_00035,-,bc71_00035,-,N,345,70.72,0.807,,hypothetical protein
fasta::barcode71.ffn:bc71_00036,-,bc71_00036,-,N,891,71.49,0.798,,Pirin
fasta::barcode71.ffn:bc71_00037,-,bc71_00037,-,N,225,67.11,0.67,,FMN-dependent NADH-azoreductase 1
fasta::barcode71.ffn:bc71_00038,-,bc71_00038,-,N,381,68.24,0.771,,FMN-dependent NADH-azoreductase 1
fasta::barcode71.ffn:bc71_00039,-,bc71_00039,-,N,894,67.67,0.638,,transcriptional regulator PtxR 
fasta::barcode71.ffn:bc71_00040,-,bc71_00040,-,N,306,68.3,0.743,,Antibiotic biosynthesis monooxygenase
fasta::barcode71.ffn:bc71_00041,-,bc71_00041,-,N,678,67.4,0.692,,Protein/nucleic acid deglycase HchA
fasta::barcode71.ffn:bc71_00042,-,bc71_00042,-,N,891,68.13,0.719,,transcriptional regulator PtxR 
fasta::barcode71.ffn:bc71_00043,-,bc71_00043,-,N,402,65.92,0.568,,hypothetical protein
fasta::barcode71.ffn:bc71_00044,-,bc71_00044,-,N,387,66.93,0.754,,Penicillinase repressor
