Barcode_present	spacer_id	
barcode31	barcode64_contig_1_Unknown_1_139|295171-295202
barcode37	barcode64_contig_1_Unknown_1_139|295171-295202
barcode53	barcode64_contig_1_Unknown_1_139|295171-295202
barcode64	barcode64_contig_1_Unknown_1_139|295171-295202
barcode01	barcode01_contig_1_Unknown_1_28|4597978-4598009
barcode56	barcode01_contig_1_Unknown_1_28|4597978-4598009
barcode45	barcode61_contig_1_Unknown_1_39|296836-296867
barcode61	barcode61_contig_1_Unknown_1_39|296836-296867
barcode36	barcode36_contig_1_Unknown_1_65|289107-289138
barcode02	barcode36_contig_1_Unknown_1_22|286524-286555
barcode36	barcode36_contig_1_Unknown_1_22|286524-286555
barcode63	barcode36_contig_1_Unknown_1_22|286524-286555
barcode70	barcode36_contig_1_Unknown_1_22|286524-286555
barcode43	barcode43_contig_1_Unknown_1_93|302227-302258
barcode54	barcode43_contig_1_Unknown_1_93|302227-302258
barcode91	barcode43_contig_1_Unknown_1_93|302227-302258
barcode95	barcode43_contig_1_Unknown_1_93|302227-302258
barcode58	barcode58_contig_1_Unknown_1_12|295265-295296
barcode01	barcode01_contig_1_Unknown_1_92|4601818-4601849
barcode56	barcode01_contig_1_Unknown_1_92|4601818-4601849
barcode83	barcode01_contig_1_Unknown_1_92|4601818-4601849
barcode52	barcode52_contig_1_Unknown_1_68|295318-295349
barcode01	barcode01_contig_1_Unknown_1_66|4600258-4600289
barcode56	barcode01_contig_1_Unknown_1_66|4600258-4600289
barcode83	barcode01_contig_1_Unknown_1_66|4600258-4600289
barcode61	barcode61_contig_1_Unknown_1_67|298515-298546
barcode83	barcode83_contig_1_Unknown_1_52|4568348-4568379
barcode96	barcode96_contig_1_Unknown_2_24|303545-303576
barcode02	barcode02_contig_1_Unknown_1_56|301074-301105
barcode63	barcode02_contig_1_Unknown_1_56|301074-301105
barcode70	barcode02_contig_1_Unknown_1_56|301074-301105
barcode14	barcode45_contig_1_Unknown_1_48|293143-293174
