barcode  genome_size  GC_content
barcode01	4941800  0.652879
barcode02	4905934  0.65287
barcode03	4928221  0.65342
barcode04	5088837  0.652255
barcode05	5015817  0.652113
barcode06	5075873  0.650424
barcode07	5083474  0.650324
barcode08	5170994  0.650048
barcode09	5044704  0.651301
barcode10	5142581  0.650484
barcode11	5079507  0.650596
barcode12	5223423  0.649074
barcode13	5113948  0.649861
barcode14	4973295  0.651805
barcode15	5100279  0.651753
barcode16	5102973  0.650352
barcode17	5138930  0.649766
barcode18	5167437  0.650196
barcode19	5179619  0.649163
barcode20	5036853  0.650948
barcode21	5138102  0.650276
barcode22	5011997  0.651387
barcode23	5075692  0.650433
barcode24	5071108  0.650487
barcode25	5128816  0.650149
barcode26	5049113  0.651043
barcode27	5071502  0.650425
barcode28	5180571  0.64917
barcode29	5076486  0.650466
barcode30	5145617  0.649908
barcode31	4921774  0.652804
barcode32	4921397  0.65349
barcode33	5058369  0.650619
barcode34	5038217  0.650852
barcode35	5136488  0.650193
barcode36	4953203  0.652554
barcode37	4912110  0.652816
barcode38	4950949  0.652718
barcode39	5114723  0.649869
barcode40	5062811  0.651147
barcode41	4990596  0.651856
barcode42	5088932  0.652262
barcode43	5010566  0.652845
barcode44	4969645  0.651801
barcode45	4919082  0.652535
barcode46	4815442  0.65362
barcode47	4884168  0.653362
barcode48	5014469  0.65203
barcode49	4970856  0.651797
barcode50	5023804  0.650979
barcode51	4921410  0.65349
barcode52	4973290  0.651368
barcode53	4921759  0.652803
barcode54	4954121  0.653153
barcode55	4959504  0.653205
barcode56	4945989  0.65257
barcode57	4973355  0.651803
barcode58	5004271  0.651394
barcode59	5113001  0.652076
barcode60	5113960  0.652079
barcode61	4991673  0.651653
barcode62	4970875  0.651796
barcode63	4905285  0.652879
barcode64	4943873  0.652499
barcode65	4915776  0.65367
barcode66	4914919  0.653069
barcode67	5122863  0.649815
barcode68	5122810  0.649817
barcode69	4901795  0.652851
barcode70	4905128  0.652881
barcode71	5150550  0.649619
barcode72	5043564  0.650904
barcode73	5122876  0.650501
barcode74	5062819  0.650917
barcode75	5122557  0.649827
barcode76	5117388  0.649753
barcode77	5116384  0.649976
barcode78	5023486  0.651257
barcode79	5105001  0.650868
barcode80	5199077  0.650299
barcode81	4962119  0.651987
barcode82	5217534  0.649382
barcode83	4903178  0.653202
barcode84	5044828  0.650828
barcode85	5026633  0.650967
barcode86	5107702  0.650481
barcode87	5075382  0.650707
barcode88	5125029  0.650106
barcode89	4921476  0.653483
barcode90	5052055  0.652881
barcode91	4949295  0.653202
barcode92	5004458  0.652313
barcode93	4980378  0.651906
barcode94	5070929  0.650508
barcode95	4948596  0.653218
barcode96	5016323  0.651761
