sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
barcode01_PD-T7-2_5	PD-T7-2	PD-T7-2	bc01_00133	bc01_00134	bc01_00133,bc01_00134	2	PD-T7-2__PD-T7-2_A,PD-T7-2__PD-T7-2_B
barcode01_PARIS_I_4	Paris	PARIS_I	bc01_03615	bc01_03616	bc01_03615,bc01_03616	2	Paris_I__AriB_DUF4435_I,Paris_I__AriA_AAA15
barcode01_Wadjet_I_3	Wadjet	Wadjet_I	bc01_04124	bc01_04127	bc01_04124,bc01_04126,bc01_04127	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode01_CAS_Class1-Subtype-I-F_10	CasFinder	CAS_Class1-Subtype-I-F	bc01_03932	bc01_03937	bc01_03932,bc01_03933,bc01_03934,bc01_03935,bc01_03936,bc01_03937	6	cas1_I-F_1,cas3f_I-F_1,cas8f_I-F_8,cas5f_I-F_4,cas7f_I-F_2,cas6f_I_II_III_IV_V_VI_3
barcode01_SoFic_6	SoFIC	SoFic	bc01_00056	bc01_00056	bc01_00056	1	SoFic__SoFic
barcode01_SoFic_7	SoFIC	SoFic	bc01_03955	bc01_03955	bc01_03955	1	SoFic__SoFic
barcode01_RM_Type_I_8	RM	RM_Type_I	bc01_01165	bc01_01168	bc01_01165,bc01_01168	2	RM__Type_I_MTases,RM__Type_I_REases
barcode01_RM_Type_IIG_9	RM	RM_Type_IIG	bc01_03200	bc01_03200	bc01_03200	1	RM_Type_IIG__Type_IIG
barcode01_AbiD_1	AbiD	AbiD	bc01_03853	bc01_03853	bc01_03853	1	AbiD__AbiD
barcode02_AbiD_1	AbiD	AbiD	bc02_00342	bc02_00342	bc02_00342	1	AbiD__AbiD
barcode02_SoFic_6	SoFIC	SoFic	bc02_00054	bc02_00054	bc02_00054	1	SoFic__SoFic
barcode02_SoFic_7	SoFIC	SoFic	bc02_00232	bc02_00232	bc02_00232	1	SoFic__SoFic
barcode02_PsyrTA_2	PsyrTA	PsyrTA	bc02_00587	bc02_00588	bc02_00587,bc02_00588	2	PsyrTA__PsyrT,PsyrTA__PsyrA
barcode02_Wadjet_I_4	Wadjet	Wadjet_I	bc02_04076	bc02_04079	bc02_04076,bc02_04078,bc02_04079	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode02_CAS_Class1-Subtype-I-F_10	CasFinder	CAS_Class1-Subtype-I-F	bc02_00253	bc02_00258	bc02_00253,bc02_00254,bc02_00255,bc02_00256,bc02_00257,bc02_00258	6	cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_2,cas5f_I-F_4,cas8f_I-F_8,cas3f_I-F_1,cas1_I-F_1
barcode02_RM_Type_I_8	RM	RM_Type_I	bc02_02985	bc02_02989	bc02_02985,bc02_02986,bc02_02989	3	RM__Type_I_S,RM__Type_I_MTases,RM__Type_I_REases
barcode02_RM_Type_II_9	RM	RM_Type_II	bc02_03665	bc02_03667	bc02_03665,bc02_03667	2	RM_Type_II__Type_II_MTases,RM_Type_II__Type_II_REases
barcode02_Shango_5	Shango	Shango	bc02_02414	bc02_02416	bc02_02414,bc02_02415,bc02_02416	3	Shango__SngC,Shango__SngB,Shango__SngA
barcode03_Wadjet_I_2	Wadjet	Wadjet_I	bc03_04082	bc03_04085	bc03_04082,bc03_04084,bc03_04085	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode03_SoFic_3	SoFIC	SoFic	bc03_00233	bc03_00233	bc03_00233	1	SoFic__SoFic
barcode03_CAS_Class1-Subtype-I-F_7	CasFinder	CAS_Class1-Subtype-I-F	bc03_00251	bc03_00256	bc03_00251,bc03_00252,bc03_00253,bc03_00254,bc03_00255,bc03_00256	6	cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_2,cas5f_I-F_4,cas8f_I-F_8,cas3f_I-F_1,cas1_I-F_1
barcode03_RM_Type_II_6	RM	RM_Type_II	bc03_00988	bc03_00992	bc03_00988,bc03_00991,bc03_00992	3	RM_Type_II__Type_II_MTases,RM_Type_II__Type_II_REases,RM_Type_II__Type_II_REases
barcode03_PrrC_4	PrrC	PrrC	bc03_02992	bc03_02996	bc03_02992,bc03_02994,bc03_02996	3	RM__Type_I_MTases,PrrC__PrrC,RM__Type_I_REases
barcode04_AbiD_1	AbiD	AbiD	bc04_00323	bc04_00323	bc04_00323	1	AbiD__AbiD
barcode04_Lamassu-Cap4_nuclease_3	Lamassu-Fam	Lamassu-Cap4_nuclease	bc04_02029	bc04_02031	bc04_02029,bc04_02030,bc04_02031	3	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II,Lamassu-Fam__LmuC_acc_Cap4_nuclease,Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
barcode04_Gabija_2	Gabija	Gabija	bc04_02095	bc04_02096	bc04_02095,bc04_02096	2	Gabija__GajA,Gabija__GajB_2
barcode04_Wadjet_I_5	Wadjet	Wadjet_I	bc04_04283	bc04_04286	bc04_04283,bc04_04285,bc04_04286	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode04_RM_Type_I_9	RM	RM_Type_I	bc04_03118	bc04_03122	bc04_03118,bc04_03119,bc04_03122	3	RM__Type_I_S,RM__Type_I_MTases,RM__Type_I_REases
barcode04_SoFic_7	SoFIC	SoFic	bc04_00053	bc04_00053	bc04_00053	1	SoFic__SoFic
barcode04_SoFic_8	SoFIC	SoFic	bc04_00226	bc04_00226	bc04_00226	1	SoFic__SoFic
barcode04_RosmerTA_6	RosmerTA	RosmerTA	bc04_03786	bc04_03787	bc04_03786,bc04_03787	2	RosmerTA__RmrA_2662548665,RosmerTA__RmrT_2662548665
barcode05_PsyrTA_4	PsyrTA	PsyrTA	bc05_01957	bc05_01958	bc05_01957,bc05_01958	2	PsyrTA__PsyrT,PsyrTA__PsyrA
barcode05_Wadjet_I_6	Wadjet	Wadjet_I	bc05_04173	bc05_04176	bc05_04173,bc05_04175,bc05_04176	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode05_SoFic_8	SoFIC	SoFic	bc05_00055	bc05_00055	bc05_00055	1	SoFic__SoFic
barcode05_SoFic_9	SoFIC	SoFic	bc05_00219	bc05_00219	bc05_00219	1	SoFic__SoFic
barcode05_Pycsar_7	Pycsar	Pycsar	bc05_01021	bc05_01022	bc05_01021,bc05_01022	2	CBASS__Effector_TIR,Pycsar__AG_cyclase
barcode05_RM_Type_II_12	RM	RM_Type_II	bc05_00579	bc05_00580	bc05_00579,bc05_00580	2	RM_Type_II__Type_II_REases,RM_Type_II__Type_II_MTases
barcode05_RM_Type_IIG_13	RM	RM_Type_IIG	bc05_01030	bc05_01030	bc05_01030	1	RM_Type_IIG__Type_IIG
barcode05_RM_Type_I_10	RM	RM_Type_I	bc05_01209	bc05_01212	bc05_01209,bc05_01210,bc05_01212	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode05_RM_Type_I_11	RM	RM_Type_I	bc05_03070	bc05_03073	bc05_03070,bc05_03071,bc05_03073	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode05_AbiV_1	AbiV	AbiV	bc05_00344	bc05_00344	bc05_00344	1	AbiV__AbiV
barcode05_Gao_Ppl_2	Gao_Ppl	Gao_Ppl	bc05_00529	bc05_00529	bc05_00529	1	Gao_Ppl__PplA
barcode05_RloC_3	RloC	RloC	bc05_04288	bc05_04288	bc05_04288	1	RloC__RloC
barcode06_AbiV_1	AbiV	AbiV	bc06_00347	bc06_00347	bc06_00347	1	AbiV__AbiV
barcode06_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc06_00531	bc06_00531	bc06_00531	1	Gao_Ppl__PplA
barcode06_Gabija_2	Gabija	Gabija	bc06_02393	bc06_02394	bc06_02393,bc06_02394	2	Gabija__GajB_2,Gabija__GajA
barcode06_Wadjet_I_5	Wadjet	Wadjet_I	bc06_04293	bc06_04296	bc06_04293,bc06_04295,bc06_04296	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode06_SoFic_7	SoFIC	SoFic	bc06_00056	bc06_00056	bc06_00056	1	SoFic__SoFic
barcode06_SoFic_8	SoFIC	SoFic	bc06_00225	bc06_00225	bc06_00225	1	SoFic__SoFic
barcode06_Retron_XII_6	Retron	Retron_XII	bc06_00581	bc06_00581	bc06_00581	1	Retron_XII__RT_12
barcode06_pAgo_S1B_9	pAgo	pAgo_S1B	bc06_03040	bc06_03041	bc06_03040,bc06_03041	2	pAgo__SIR2APAZ,pAgo__pAgo_S1B
barcode06_RM_Type_III_13	RM	RM_Type_III	bc06_01028	bc06_01029	bc06_01028,bc06_01029	2	RM_Type_III__Type_III_MTases,RM_Type_III__Type_III_REases
barcode06_RM_Type_I_10	RM	RM_Type_I	bc06_01207	bc06_01210	bc06_01207,bc06_01208,bc06_01210	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode06_RM_Type_IIG_12	RM	RM_Type_IIG	bc06_02360	bc06_02360	bc06_02360	1	RM_Type_IIG__Type_IIG
barcode06_RM_Type_I_11	RM	RM_Type_I	bc06_03213	bc06_03216	bc06_03213,bc06_03214,bc06_03216	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode07_PrrC_10	PrrC	PrrC	bc07_00481	bc07_00485	bc07_00481,bc07_00482,bc07_00483,bc07_00485	4	RM__Type_I_REases,RM__Type_I_S,PrrC__PrrC,RM__Type_I_MTases
barcode07_PrrC_11	PrrC	PrrC	bc07_01160	bc07_01166	bc07_01160,bc07_01164,bc07_01166	3	RM__Type_I_REases,PrrC__PrrC,RM__Type_I_MTases
barcode07_RM_Type_II_15	RM	RM_Type_II	bc07_02115	bc07_02117	bc07_02115,bc07_02117	2	RM_Type_II__Type_II_MTases,RM_Type_II__Type_II_REases
barcode07_RM_Type_I_14	RM	RM_Type_I	bc07_03042	bc07_03046	bc07_03042,bc07_03045,bc07_03046	3	RM__Type_I_MTases,RM__Type_I_S,RM__Type_I_REases
barcode07_AbiD_1	AbiD	AbiD	bc07_00341	bc07_00341	bc07_00341	1	AbiD__AbiD
barcode07_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc07_00548	bc07_00548	bc07_00548	1	Gao_Ppl__PplA
barcode07_Lamassu-Cap4_nuclease_4	Lamassu-Fam	Lamassu-Cap4_nuclease	bc07_01705	bc07_01707	bc07_01705,bc07_01706,bc07_01707	3	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II,Lamassu-Fam__LmuC_acc_Cap4_nuclease,Lamassu-Fam__LmuA_effector_Cap4_nuclease_II
barcode07_AbiE_2	AbiE	AbiE	bc07_03222	bc07_03223	bc07_03222,bc07_03223	2	AbiEii__AbiEi_3,AbiEii__AbiEii
barcode07_SoFic_8	SoFIC	SoFic	bc07_00054	bc07_00054	bc07_00054	1	SoFic__SoFic
barcode07_SoFic_9	SoFIC	SoFic	bc07_00231	bc07_00231	bc07_00231	1	SoFic__SoFic
barcode07_Retron_XII_7	Retron	Retron_XII	bc07_00598	bc07_00598	bc07_00598	1	Retron_XII__RT_12
barcode07_Wadjet_I_6	Wadjet	Wadjet_I	bc07_04261	bc07_04264	bc07_04261,bc07_04263,bc07_04264	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode08_Shango_7	Shango	Shango	bc08_00975	bc08_00976	bc08_00975,bc08_00976	2	Shango__SngB,Shango__SngA
barcode08_Gao_Her_SIR_6	Gao_Her	Gao_Her_SIR	bc08_03320	bc08_03321	bc08_03320,bc08_03321	2	Gao_Her_SIR__HerA_SIR2,Gao_Her_SIR__SIR2
barcode08_Wadjet_I_5	Wadjet	Wadjet_I	bc08_04411	bc08_04414	bc08_04411,bc08_04413,bc08_04414	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode08_SoFic_8	SoFIC	SoFic	bc08_00054	bc08_00054	bc08_00054	1	SoFic__SoFic
barcode08_SoFic_9	SoFIC	SoFic	bc08_00227	bc08_00227	bc08_00227	1	SoFic__SoFic
barcode08_AbiV_2	AbiV	AbiV	bc08_00345	bc08_00345	bc08_00345	1	AbiV__AbiV
barcode08_Gabija_3	Gabija	Gabija	bc08_02037	bc08_02038	bc08_02037,bc08_02038	2	Gabija__GajB_2,Gabija__GajA
barcode08_AbiH_1	AbiH	AbiH	bc08_02050	bc08_02050	bc08_02050	1	AbiH__AbiH
barcode08_PrrC_10	PrrC	PrrC	bc08_00466	bc08_00471	bc08_00466,bc08_00469,bc08_00471	3	RM__Type_I_REases,PrrC__PrrC,RM__Type_I_MTases
barcode08_RM_Type_III_14	RM	RM_Type_III	bc08_00539	bc08_00540	bc08_00539,bc08_00540	2	RM_Type_III__Type_III_REases,RM_Type_III__Type_III_MTases
barcode08_RM_Type_I_12	RM	RM_Type_I	bc08_01152	bc08_01155	bc08_01152,bc08_01155	2	RM__Type_I_MTases,RM__Type_I_REases
barcode08_RM_Type_I_13	RM	RM_Type_I	bc08_03133	bc08_03136	bc08_03133,bc08_03135,bc08_03136	3	RM__Type_I_MTases,RM__Type_I_S,RM__Type_I_REases
barcode09_AbiD_1	AbiD	AbiD	bc09_00872	bc09_00872	bc09_00872	1	AbiD__AbiD
barcode09_Gabija_2	Gabija	Gabija	bc09_02284	bc09_02286	bc09_02284,bc09_02286	2	Gabija__GajB_3,Gabija__GajA
barcode09_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc09_03855	bc09_03855	bc09_03855	1	Gao_Ppl__PplA
barcode09_Wadjet_I_5	Wadjet	Wadjet_I	bc09_00093	bc09_00096	bc09_00093,bc09_00094,bc09_00096	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
barcode09_SoFic_10	SoFIC	SoFic	bc09_00066	bc09_00066	bc09_00066	1	SoFic__SoFic
barcode09_CBASS_III_9	CBASS	CBASS_III	bc09_01960	bc09_01963	bc09_01960,bc09_01961,bc09_01962,bc09_01963	4	CBASS__Sensing_TPALS,CBASS__TRIP13,CBASS__bacHORMA_1,CBASS__Cyclase_II
barcode09_SoFic_11	SoFIC	SoFic	bc09_04161	bc09_04161	bc09_04161	1	SoFic__SoFic
barcode09_CapRel_6	CapRel	CapRel	bc09_03912	bc09_03912	bc09_03912	1	CapRel__CapRel
barcode09_RM_Type_I_12	RM	RM_Type_I	bc09_00869	bc09_00874	bc09_00869,bc09_00873,bc09_00874	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode10_RosmerTA_7	RosmerTA	RosmerTA	bc10_02151	bc10_02152	bc10_02151,bc10_02152	2	RosmerTA__RmrT_2634932349,RosmerTA__RmrA_2634932349
barcode10_SspBCDE_8	SspBCDE	SspBCDE	bc10_04016	bc10_04019	bc10_04016,bc10_04017,bc10_04018,bc10_04019	4	SspBCDE__SspD,SspBCDE__SspC,SspBCDE__SspC,SspBCDE__SspB
barcode10_PsyrTA_4	PsyrTA	PsyrTA	bc10_01989	bc10_01990	bc10_01989,bc10_01990	2	PsyrTA__PsyrT,PsyrTA__PsyrA
barcode10_Wadjet_I_6	Wadjet	Wadjet_I	bc10_04337	bc10_04340	bc10_04337,bc10_04339,bc10_04340	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode10_SoFic_12	SoFIC	SoFic	bc10_00050	bc10_00050	bc10_00050	1	SoFic__SoFic
barcode10_SoFic_13	SoFIC	SoFic	bc10_00087	bc10_00087	bc10_00087	1	SoFic__SoFic
barcode10_SoFic_14	SoFIC	SoFic	bc10_00257	bc10_00257	bc10_00257	1	SoFic__SoFic
barcode10_Retron_XII_11	Retron	Retron_XII	bc10_00616	bc10_00616	bc10_00616	1	Retron_XII__RT_12
barcode10_BREX_I_10	BREX	BREX_I	bc10_03287	bc10_03293	bc10_03287,bc10_03288,bc10_03289,bc10_03291,bc10_03292,bc10_03293	6	BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819
barcode10_AbiD_1	AbiD	AbiD	bc10_00363	bc10_00363	bc10_00363	1	AbiD__AbiD
