id,pathovar_id,sequenced_filemaker,original_filemaker,country,iso_a3,continent,year,pathovar
barcode01,Xcr_barcode01,6737,6737,,NA,Asia,,Xcr
barcode02,Xcr_barcode02,6738,6199,USA,USA,North_America,2005,Xcr
barcode03,Xcr_barcode03,6739,6202,USA,USA,North_America,2007,Xcr
barcode04,Xcr_barcode04,6740,6200,USA,USA,North_America,2006,Xcr
barcode05,Xcc_barcode05,6741,6471,China,CHN,Asia,2005,Xcc
barcode06,Xcc_barcode06,6742,5308,Netherlands,NLD,Europe,,Xcc
barcode07,Xcc_barcode07,6743,5309,Belgium,BEL,Europe,1999,Xcc
barcode08,Xcc_barcode08,6744,6286,,NA,,,Xcc
barcode09,Xcc_barcode09,6745,6341,USA,USA,North_America,2016,Xcc
barcode10,Xcc_barcode10,6747,6459,France,FRA,Europe,1975,Xcc
barcode11,Xcc_barcode11,6749,6469,Germany,DEU,Europe,1958,Xcc
barcode12,Xcc_barcode12,6750,6470,Australia,AUS,Oceania,1975,Xcc
barcode13,Xcc_barcode13,6751,6477,Algeria,DZA,Africa,2013,Xcc
barcode14,Xcr_barcode14,6752,6209,,NA,,,Xcr
barcode15,Xcr_barcode15,6753,6210,,NA,,,Xcr
barcode16,Xcc_barcode16,6755,6423,Uganda,UGA,Africa,1962,Xcc
barcode17,Xcc_barcode17,6756,6424,United_Kingdom,GBR,Europe,1962,Xcc
barcode18,Xcc_barcode18,6757,6425,,NA,,,Xcc
barcode19,Xcc_barcode19,6758,6426,Burundi,BDI,Africa,1979,Xcc
barcode20,Xcc_barcode20,6759,6427,New_Zealand,NZL,Oceania,1953,Xcc
barcode21,Xcc_barcode21,6760,6428,Canada,CAN,North_America,1953,Xcc
barcode22,Xcc_barcode22,6761,6430,Belgium,BEL,Europe,1985,Xcc
barcode23,Xcc_barcode23,6762,6431,United_Kingdom,GBR,Europe,1967,Xcc
barcode24,Xcc_barcode24,6763,6432,Papua_New_Guinea,PNG,Oceania,1961,Xcc
barcode25,Xcc_barcode25,6764,6433,Kenya,KEN,Africa,1964,Xcc
barcode26,Xcc_barcode26,6765,6434,Tonga,TON,Africa,1964,Xcc
barcode27,Xcc_barcode27,6766,6435,Australia,AUS,Oceania,1965,Xcc
barcode28,Xcc_barcode28,6768,6437,New_Zealand,NZL,Oceania,1957,Xcc
barcode29,Xcc_barcode29,6769,6441,Cook_Islands,COK,Oceania,1974,Xcc
